iter	Passed	Remaining
0	8	4487
1	16	4141
2	24	4015
3	31	3891
4	38	3801
5	45	3731
6	52	3683
7	59	3654
8	66	3621
9	73	3599
10	80	3583
11	87	3569
12	95	3567
13	102	3557
14	109	3543
15	116	3530
16	123	3517
17	131	3509
18	138	3511
19	145	3490
20	152	3470
21	159	3461
22	166	3456
23	173	3444
24	181	3441
25	188	3430
26	195	3418
27	202	3405
28	209	3398
29	216	3384
30	222	3372
31	229	3362
32	236	3349
33	243	3339
34	250	3330
35	257	3325
36	265	3318
37	272	3308
38	279	3301
39	286	3291
40	292	3279
41	299	3269
42	306	3261
43	313	3254
44	320	3245
45	328	3238
46	335	3233
47	342	3223
48	349	3214
49	356	3205
50	363	3198
51	370	3190
52	377	3183
53	384	3176
54	391	3171
55	398	3163
56	405	3154
57	412	3143
58	419	3134
59	426	3126
60	433	3118
61	440	3108
62	446	3098
63	453	3089
64	460	3079
65	467	3072
66	474	3064
67	481	3057
68	488	3051
69	495	3044
70	502	3036
71	509	3029
72	516	3022
73	523	3015
74	531	3009
75	538	3003
76	545	2998
77	552	2989
78	559	2981
79	566	2972
80	573	2965
81	580	2957
82	587	2950
83	594	2944
84	601	2936
85	608	2930
86	615	2923
87	623	2917
88	630	2910
89	637	2903
90	644	2895
91	651	2888
92	658	2881
93	665	2873
94	672	2867
95	679	2858
96	686	2850
97	693	2843
98	700	2836
99	707	2829
100	714	2822
101	721	2815
102	728	2806
103	734	2798
104	741	2790
105	748	2782
106	755	2775
107	762	2769
108	769	2762
109	777	2755
110	784	2749
111	791	2742
112	798	2734
113	805	2727
114	812	2720
115	819	2713
116	826	2706
117	833	2699
118	841	2693
119	848	2687
120	856	2682
121	864	2677
122	871	2672
123	879	2667
124	886	2660
125	893	2651
126	900	2645
127	907	2638
128	914	2631
129	921	2623
130	929	2617
131	936	2610
132	943	2603
133	950	2595
134	957	2589
135	964	2582
136	972	2575
137	979	2568
138	986	2562
139	993	2554
140	1000	2547
141	1008	2541
142	1015	2534
143	1022	2527
144	1029	2521
145	1037	2514
146	1043	2507
147	1051	2499
148	1058	2492
149	1065	2486
150	1073	2480
151	1080	2473
152	1087	2466
153	1094	2459
154	1101	2452
155	1108	2445
156	1115	2437
157	1122	2429
158	1129	2422
159	1137	2416
160	1144	2410
161	1152	2404
162	1160	2398
163	1168	2393
164	1175	2386
165	1182	2380
166	1189	2372
167	1197	2365
168	1204	2358
169	1211	2351
170	1218	2344
171	1225	2337
172	1232	2330
173	1240	2323
174	1247	2316
175	1254	2309
176	1261	2302
177	1268	2294
178	1275	2287
179	1282	2279
180	1289	2273
181	1296	2265
182	1303	2258
183	1310	2251
184	1317	2243
185	1324	2236
186	1332	2229
187	1339	2222
188	1346	2215
189	1353	2208
190	1360	2200
191	1367	2193
192	1374	2186
193	1382	2179
194	1389	2173
195	1396	2165
196	1403	2158
197	1410	2150
198	1417	2143
199	1424	2136
200	1431	2129
201	1439	2123
202	1446	2116
203	1453	2109
204	1460	2101
205	1468	2095
206	1475	2088
207	1482	2081
208	1490	2075
209	1497	2067
210	1504	2060
211	1511	2053
212	1518	2046
213	1525	2039
214	1532	2032
215	1540	2024
216	1547	2017
217	1554	2010
218	1561	2003
219	1568	1996
220	1575	1989
221	1582	1982
222	1590	1975
223	1597	1967
224	1604	1960
225	1611	1953
226	1618	1945
227	1625	1939
228	1632	1931
229	1639	1924
230	1646	1917
231	1653	1910
232	1661	1903
233	1668	1896
234	1675	1888
235	1682	1881
236	1689	1874
237	1695	1866
238	1703	1860
239	1710	1852
240	1717	1845
241	1724	1838
242	1731	1831
243	1739	1824
244	1745	1817
245	1753	1810
246	1760	1803
247	1767	1796
248	1774	1789
249	1781	1781
250	1789	1774
251	1796	1767
252	1803	1760
253	1810	1753
254	1817	1746
255	1824	1739
256	1831	1731
257	1837	1723
258	1844	1716
259	1851	1709
260	1858	1701
261	1865	1694
262	1872	1687
263	1879	1679
264	1885	1672
265	1892	1665
266	1899	1657
267	1907	1650
268	1914	1644
269	1921	1637
270	1928	1629
271	1936	1622
272	1943	1615
273	1950	1608
274	1957	1601
275	1964	1594
276	1971	1586
277	2000	1597
278	2007	1590
279	2014	1582
280	2022	1575
281	2038	1576
282	2048	1571
283	2058	1565
284	2067	1559
285	2077	1554
286	2085	1547
287	2097	1543
288	2109	1540
289	2133	1545
290	2147	1542
291	2157	1536
292	2167	1531
293	2178	1526
294	2186	1519
295	2194	1512
296	2202	1505
297	2209	1498
298	2218	1491
299	2227	1484
300	2235	1477
301	2242	1470
302	2249	1462
303	2257	1455
304	2265	1448
305	2273	1441
306	2281	1434
307	2289	1427
308	2297	1420
309	2305	1412
310	2313	1405
311	2321	1398
312	2329	1391
313	2337	1384
314	2345	1377
315	2352	1369
316	2360	1362
317	2367	1355
318	2374	1347
319	2382	1340
320	2390	1332
321	2398	1325
322	2405	1318
323	2412	1310
324	2419	1302
325	2426	1295
326	2433	1287
327	2441	1280
328	2448	1272
329	2455	1265
330	2462	1257
331	2469	1249
332	2476	1242
333	2484	1234
334	2491	1227
335	2498	1219
336	2506	1212
337	2513	1204
338	2520	1197
339	2527	1189
340	2535	1182
341	2542	1174
342	2550	1167
343	2557	1159
344	2564	1152
345	2571	1144
346	2579	1137
347	2586	1129
348	2593	1122
349	2600	1114
350	2608	1107
351	2615	1099
352	2622	1092
353	2630	1084
354	2637	1077
355	2644	1069
356	2651	1062
357	2659	1054
358	2666	1047
359	2674	1039
360	2681	1032
361	2688	1024
362	2695	1017
363	2703	1009
364	2710	1002
365	2717	995
366	2725	987
367	2732	980
368	2739	972
369	2746	964
370	2753	957
371	2760	949
372	2768	942
373	2775	935
374	2782	927
375	2790	920
376	2797	912
377	2804	905
378	2811	897
379	2819	890
380	2826	882
381	2833	875
382	2841	867
383	2848	860
384	2856	853
385	2863	845
386	2870	838
387	2878	830
388	2884	823
389	2891	815
390	2898	808
391	2906	800
392	2913	793
393	2921	785
394	2928	778
395	2935	770
396	2942	763
397	2950	756
398	2957	748
399	2964	741
400	2972	733
401	2979	726
402	2986	718
403	2994	711
404	3001	704
405	3008	696
406	3015	689
407	3022	681
408	3029	674
409	3036	666
410	3043	659
411	3050	651
412	3057	644
413	3065	636
414	3072	629
415	3080	621
416	3087	614
417	3094	607
418	3102	599
419	3109	592
420	3116	584
421	3123	577
422	3130	569
423	3137	562
424	3144	554
425	3151	547
426	3158	540
427	3166	532
428	3173	525
429	3180	517
430	3187	510
431	3195	502
432	3202	495
433	3209	488
434	3216	480
435	3224	473
436	3231	465
437	3238	458
438	3245	450
439	3252	443
440	3259	436
441	3266	428
442	3273	421
443	3281	413
444	3288	406
445	3296	399
446	3303	391
447	3310	384
448	3317	376
449	3325	369
450	3332	362
451	3340	354
452	3347	347
453	3354	339
454	3361	332
