iter	Passed	Remaining
0	7	4763
1	13	4119
2	19	3866
3	25	3743
4	30	3642
5	35	3558
6	41	3506
7	46	3467
8	52	3433
9	57	3414
10	63	3389
11	69	3383
12	74	3367
13	80	3355
14	85	3326
15	91	3325
16	96	3305
17	102	3300
18	108	3311
19	114	3308
20	120	3311
21	125	3303
22	131	3291
23	136	3277
24	141	3260
25	146	3245
26	152	3232
27	157	3220
28	163	3210
29	168	3194
30	173	3193
31	179	3193
32	185	3190
33	191	3186
34	196	3179
35	202	3177
36	208	3171
37	213	3159
38	219	3150
39	225	3158
40	233	3177
41	239	3181
42	246	3186
43	251	3179
44	257	3170
45	262	3162
46	268	3154
47	273	3146
48	279	3143
49	285	3145
50	291	3137
51	296	3128
52	302	3118
53	307	3107
54	312	3100
55	318	3092
56	323	3082
57	329	3077
58	334	3070
59	340	3061
60	345	3053
61	351	3046
62	356	3038
63	361	3029
64	366	3020
65	372	3009
66	377	3001
67	382	2992
68	387	2985
69	393	2977
70	398	2970
71	404	2964
72	409	2958
73	415	2951
74	420	2945
75	427	2947
76	432	2940
77	437	2930
78	443	2924
79	449	2918
80	454	2913
81	460	2910
82	466	2902
83	471	2895
84	476	2889
85	482	2884
86	487	2874
87	492	2866
88	497	2858
89	503	2851
90	508	2842
91	512	2832
92	518	2824
93	523	2819
94	529	2812
95	534	2806
96	540	2800
97	545	2793
98	550	2786
99	555	2778
100	560	2770
101	566	2763
102	571	2756
103	576	2749
104	581	2742
105	586	2735
106	592	2730
107	598	2724
108	603	2718
109	608	2710
110	613	2704
111	619	2697
112	624	2693
113	630	2687
114	635	2681
115	641	2674
116	646	2667
117	651	2659
118	656	2653
119	661	2645
120	666	2638
121	672	2633
122	677	2626
123	682	2619
124	687	2613
125	693	2607
126	699	2603
127	704	2596
128	709	2588
129	714	2582
130	719	2576
131	725	2571
132	730	2565
133	735	2559
134	740	2551
135	746	2545
136	751	2538
137	756	2533
138	761	2527
139	766	2520
140	772	2514
141	777	2509
142	783	2502
143	788	2496
144	793	2490
145	798	2484
146	804	2477
147	809	2471
148	814	2465
149	820	2460
150	825	2455
151	831	2452
152	837	2446
153	842	2438
154	847	2433
155	852	2427
156	858	2421
157	863	2415
158	868	2409
159	873	2403
160	879	2397
161	884	2390
162	889	2385
163	895	2380
164	900	2374
165	905	2367
166	910	2361
167	915	2354
168	920	2347
169	925	2340
170	930	2334
171	935	2328
172	941	2322
173	946	2317
174	951	2311
175	957	2305
176	962	2299
177	967	2293
178	972	2287
179	977	2281
180	982	2275
181	988	2270
182	993	2264
183	998	2258
184	1004	2252
185	1008	2245
186	1014	2239
187	1019	2235
188	1024	2228
189	1031	2224
190	1036	2219
191	1041	2213
